날짜, 1시 , 2시 , 3시 , 4시 , 5시 , 6시 , 7시 , 8시 , 9시 , 10시 , 11시 , 12시 , 13시 , 14시 , 15시 , 16시 , 17시 , 18시 , 19시 , 20시 , 21시 , 22시 , 23시 , 24시 
2023-09-01,1298.6,1303.5,1301.2,1301.6,1299.4,1295.6,1312.9,1330.7,1356.3,1380.1,1383.2,1375.8,1413.5,1383.6,1345,1323,1295.3,1276.1,1269.6,1292.8,1295.9,1277,1267.7,1285.4
2023-09-02,1290.8,1289.9,1277.6,1276,1309.7,1336,1335.1,1361.6,1364.8,1391.2,1470.9,1475.7,1497,1535.5,1508.8,1474.6,1409.6,1320.5,1273.1,1268.1,1278.5,1282.8,1269.1,1262.7
2023-09-03,1258.7,1262.8,1269.5,1272.2,1273.6,1285.8,1281.8,1295.3,1358,1403.3,1455.7,1508,1529.4,1528.7,1504.6,1438.3,1369.9,1310.3,1258.4,1259.9,1255.9,1249.9,1249.2,1249.3
2023-09-04,1249.8,1250.5,1249.6,1249.9,1253.3,1259,1266.7,1307.8,1376.3,1440.9,1478.9,1503.9,1519.5,1523.1,1496.7,1473.8,1425.6,1357.5,1301.1,1308.7,1315.1,1314.7,1313.9,1305.4
2023-09-05,1303.8,1304,1309.3,1308.5,1312.4,1310,1313.9,1338,1412.1,1497.3,1544.3,1576.8,1511.5,1358.5,1368,1306.2,1257.6,1320.1,1296.3,1309.7,1311.6,1307.7,1303,1304.2
2023-09-06,1229.4,1229.9,1229.8,1235.3,1249.4,1264.9,1256.6,1288,1368.1,1442.5,1492.7,1530.5,1550.3,1548,1515.9,1452.5,1368.8,1280.6,1218.6,1246.9,1308.1,1295.8,1292.5,1294.8
2023-09-07,1309.4,1319.3,1322,1321.4,1327.5,1319.5,1329.3,1368.2,1445,1470.2,1518,1543.6,1545.4,1557.1,1539.1,1481.3,1412.5,1320.5,1261.2,1341.6,1341.7,1332.4,1324.9,1332.5
2023-09-08,1268.9,1257,1249.1,1254.5,1252.8,1253.9,1259.2,1296.1,1379.6,1441.1,1495,1523.7,1552.3,1559,1523.8,1459.3,1386.2,1298.3,1240,1243.9,1236.5,1231.1,1229.2,1228.7
2023-09-09,1230.4,1231.4,1229.2,1232.5,1232.7,1232.6,1235.6,1278.8,1348.3,1398.7,1435.6,1468.8,1477.8,1465.2,1431.4,1386.7,1332.6,1270.8,1221.9,1224.6,1225.2,1227.5,1225.9,1226.8
2023-09-10,1226.4,1229.2,1230,1231.7,1233.7,1235.3,1239.6,1261.2,1319.8,1368,1390.1,1407.2,1395.9,1426.1,1421.9,1391.8,1327.5,1267.5,1227.3,1224.8,1222.2,1220.1,1217.8,1216
2023-09-11,1214.3,1214.4,1222.4,1222.9,1225.5,1226,1233.6,1262.7,1250.8,1304.3,1336,1357.6,1360.9,1331.4,1357.7,1325.4,1258.5,1210.2,1184.7,1185.4,1186.2,1184.3,1174.1,1181
2023-09-12,1183.8,1184.1,1184.7,1184.9,1187.2,1187.4,1191.9,1224.1,1284.2,1339,1345.9,1331.7,1336.9,1297,1293.5,1261.7,1230.7,1212.4,1184.5,1185.8,1187.7,1187.7,1184.7,1188.4
2023-09-13,1191.4,1186.8,1190.4,1190.2,1195.2,1194.7,1199,1232.7,1275.3,1328.6,1357.8,1384.5,1368,1395.5,1392.8,1318,1244.9,1211.2,1192.6,1201.3,1197.8,1195.1,1209.5,1202
2023-09-14,1201.5,1192.4,1196.2,1206.6,1211.5,1211.1,1207.8,1216.1,1234.1,1224,1219.8,1232.7,1221,1263.5,1256.6,1272.1,1245.9,1216.2,1212.2,1220.5,1214.4,1219.7,1208.7,1201.5
2023-09-15,1204.2,1203.4,1207.6,1209,1204.6,1202.7,1199.5,1232.8,1298,1360.6,1400.2,1442.3,1475.9,1486.3,1445.6,1392.5,1325.7,1252.6,1206.1,1220.6,1219,1208.3,1200.8,1201.7
2023-09-16,1194.2,1194.2,1190.9,1191.7,1196,1191.5,1199.6,1228.2,1268.3,1285.3,1330.2,1414.2,1326.8,1299.7,1290.2,1341.8,1284.6,1225.5,1193.7,1207.7,1215.2,1217.1,1211.5,1218.7
2023-09-17,1201.8,1195.4,1197.2,1199.3,1195.2,1197.9,1195.1,1229,1219.6,1244.3,1271.2,1327,1309.1,1348.3,1326,1267.3,1240.3,1221.9,1203.1,1209.2,1209,1213.5,1215.5,1204.6
2023-09-18,1203.2,1198.1,1189,1187.1,1188.7,1194,1196.9,1230.8,1300.7,1337.7,1359.4,1381,1396.9,1412.8,1375.2,1360.6,1340.7,1321.1,1306.8,1313.9,1314.1,1298.3,1297.2,1299.1
2023-09-19,1297.6,1297.3,1300.3,1303.7,1304.2,1304.1,1307.7,1351.3,1423.5,1451.5,1461.5,1480.7,1471.3,1429.6,1367.5,1385.5,1352.9,1285,1292.3,1301.6,1300.4,1304.8,1310.2,1300.9
2023-09-20,1227,1229.6,1238.8,1230,1231.1,1234.3,1236.5,1255.1,1279.8,1304.5,1367.7,1403.3,1438.4,1435,1417.1,1354.1,1346.9,1357.8,1361.2,1383.5,1372.7,1324.8,1298.3,1306.9
2023-09-21,1312.2,1298.6,1350.1,1367.4,1379.8,1378.4,1381.7,1393.3,1446.8,1550.2,1567,1544.3,1546.1,1489.1,1498.5,1453.7,1390.9,1322,1300.1,1296.1,1263.3,1248.4,1267.5,1252.5
2023-09-22,1242.9,1250.9,1239.2,1242.1,1249.1,1263.8,1257.2,1254.5,1280,1300.2,1324.1,1356.4,1375.1,1304.9,1287.9,1289.3,1262.9,1230.5,1217.5,1219.2,1217.6,1208.9,1208.7,1211.6
2023-09-23,1213.1,1218.8,1223.9,1227.6,1236.7,1253.5,1236.8,1257.6,1350.4,1413.4,1475.3,1474.7,1411.4,1393.4,1402.4,1349.1,1322.5,1298.8,1309.9,1310.5,1307.1,1301.5,1315.1,1303.2
2023-09-24,1283.4,1276.2,1286.3,1296.3,1288.7,1304.9,1304.7,1314.7,1343.5,1436.5,1460,1455.1,1476.6,1514.6,1474.3,1458.5,1413.7,1375.6,1359.9,1366.5,1344,1329.2,1354.4,1358.3
2023-09-25,1354.4,1340.7,1342.5,1348.8,1343.1,1357.3,1347.8,1368.3,1238.7,1245.6,1275.2,1301.6,1287.4,1256.5,1227.1,1173.1,1170.3,1146.7,1312.2,1308.1,1312.2,1310.1,1309.7,1308.1
2023-09-26,1306.4,1307.4,1304.3,1307.6,1305.4,1307.1,1309,1344.6,1411.6,1439,1462.2,1490.8,1498.4,1483,1429.8,1398.1,1385.6,1336.8,1326.7,1339.7,1335.9,1328.5,1316.6,1304.9
