날짜,시간, 시흥(전력거래량) , 강동구(전력거래량) , 강서구(전력거래량) , 영등포구(전력거래량) , 서초구(전력거래량) , 광진구(전력거래량) , 도봉구(전력거래량) , 시흥(발전기 개수) , 강동구(발전기 개수) , 강서구(발전기 개수) , 영등포구(발전기 개수) , 서초구(발전기 개수) , 광진구(발전기 개수) , 도봉구(발전기 개수) 
2020-01-01,1,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,2,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,3,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,4,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,5,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,6,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,7,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,8,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,9,0.023936,0.01146,0.023289,0,0.00072,0.001,0,8,3,3,0,2,3,0
2020-01-01,10,0.217436,0.1671,0.319634,0,0.00622,0.0138,0,8,3,3,0,2,3,0
2020-01-01,11,0.521857,0.4077,0.490476,0,0.0094,0.0198,0,8,3,3,0,2,3,0
2020-01-01,12,1.152175,1.10442,1.530373,0,0.02282,0.0752,0,8,3,3,0,2,3,0
2020-01-01,13,1.638555,1.11144,1.614996,0,0.02812,0.06404,0,8,3,3,0,2,3,0
2020-01-01,14,1.875095,1.1793,1.537244,0,0.02624,0.06524,0,8,3,3,0,2,3,0
2020-01-01,15,1.308506,0.87252,1.252131,0,0.02348,0.0434,0,8,3,3,0,2,3,0
2020-01-01,16,0.717469,0.51228,0.503631,0,0.01298,0.02728,0,8,3,3,0,2,3,0
2020-01-01,17,0.219575,0.1536,0.134244,0,0.0068,0.00568,0,8,3,3,0,2,3,0
2020-01-01,18,0.003,0.00066,0.00072,0,0.00008,0,0,8,3,3,0,2,3,0
2020-01-01,19,0,0,0,0,0,0,0,8,3,3,0,2,3,0
2020-01-01,20,0,0,0,0,0,0,0,8,3,3,0,2,3,0
