거래일자,거래시간,지역,전력거래량(MWh)
2017-01-01,1,경기도,5909
2017-01-01,2,경기도,5024
2017-01-01,3,경기도,4254
2017-01-01,4,경기도,4085
2017-01-01,5,경기도,4211
2017-01-01,6,경기도,4246
2017-01-01,7,경기도,4249
2017-01-01,8,경기도,4182
2017-01-01,9,경기도,3985
2017-01-01,10,경기도,3845
2017-01-01,11,경기도,3793
2017-01-01,12,경기도,3804
2017-01-01,13,경기도,3780
2017-01-01,14,경기도,3788
2017-01-01,15,경기도,3792
2017-01-01,16,경기도,3833
2017-01-01,17,경기도,4061
2017-01-01,18,경기도,4325
2017-01-01,19,경기도,4498
2017-01-01,20,경기도,4555
2017-01-01,21,경기도,4726
2017-01-01,22,경기도,5192
2017-01-01,23,경기도,5183
2017-01-01,24,경기도,5568
2017-01-01,1,강원도,1069
2017-01-01,2,강원도,916
2017-01-01,3,강원도,687
2017-01-01,4,강원도,653
2017-01-01,5,강원도,638
2017-01-01,6,강원도,646
2017-01-01,7,강원도,688
2017-01-01,8,강원도,662
2017-01-01,9,강원도,750
2017-01-01,10,강원도,782
2017-01-01,11,강원도,801
2017-01-01,12,강원도,792
2017-01-01,13,강원도,703
2017-01-01,14,강원도,730
2017-01-01,15,강원도,717
2017-01-01,16,강원도,733
2017-01-01,17,강원도,744
2017-01-01,18,강원도,845
2017-01-01,19,강원도,1066
2017-01-01,20,강원도,1056
2017-01-01,21,강원도,1022
2017-01-01,22,강원도,1014
2017-01-01,23,강원도,989
2017-01-01,24,강원도,907
2017-01-01,1,경상남도,6370
2017-01-01,2,경상남도,6071
2017-01-01,3,경상남도,5811
2017-01-01,4,경상남도,5616
2017-01-01,5,경상남도,5747
2017-01-01,6,경상남도,6082
2017-01-01,7,경상남도,6266
2017-01-01,8,경상남도,6181
2017-01-01,9,경상남도,5879
2017-01-01,10,경상남도,5815
2017-01-01,11,경상남도,5936
2017-01-01,12,경상남도,5608
2017-01-01,13,경상남도,5533
2017-01-01,14,경상남도,5444
2017-01-01,15,경상남도,5524
2017-01-01,16,경상남도,5617
2017-01-01,17,경상남도,5616
2017-01-01,18,경상남도,6236
2017-01-01,19,경상남도,6710
2017-01-01,20,경상남도,6639
2017-01-01,21,경상남도,6619
2017-01-01,22,경상남도,6209
2017-01-01,23,경상남도,6675
2017-01-01,24,경상남도,6366
2017-01-01,1,경상북도,7261
2017-01-01,2,경상북도,6924
2017-01-01,3,경상북도,6551
2017-01-01,4,경상북도,6420
2017-01-01,5,경상북도,6432
2017-01-01,6,경상북도,6436
2017-01-01,7,경상북도,6445
2017-01-01,8,경상북도,6452
2017-01-01,9,경상북도,6495
2017-01-01,10,경상북도,6505
2017-01-01,11,경상북도,6541
2017-01-01,12,경상북도,6536
2017-01-01,13,경상북도,6501
2017-01-01,14,경상북도,6508
2017-01-01,15,경상북도,6472
2017-01-01,16,경상북도,6430
2017-01-01,17,경상북도,6397
2017-01-01,18,경상북도,6686
2017-01-01,19,경상북도,6937
2017-01-01,20,경상북도,6906
2017-01-01,21,경상북도,6711
2017-01-01,22,경상북도,6762
2017-01-01,23,경상북도,7129
