거래일자,거래시간,지역, 전력거래량(MWh) 
2019-01-01,1,경기도,8005
2019-01-01,2,경기도,7448
2019-01-01,3,경기도,7183
2019-01-01,4,경기도,6871
2019-01-01,5,경기도,6454
2019-01-01,6,경기도,6516
2019-01-01,7,경기도,6601
2019-01-01,8,경기도,6277
2019-01-01,9,경기도,6286
2019-01-01,10,경기도,6354
2019-01-01,11,경기도,6203
2019-01-01,12,경기도,6025
2019-01-01,13,경기도,6074
2019-01-01,14,경기도,6228
2019-01-01,15,경기도,6366
2019-01-01,16,경기도,6401
2019-01-01,17,경기도,6734
2019-01-01,18,경기도,7293
2019-01-01,19,경기도,7704
2019-01-01,20,경기도,7859
2019-01-01,21,경기도,7735
2019-01-01,22,경기도,7725
2019-01-01,23,경기도,8201
2019-01-01,24,경기도,8296
2019-01-01,1,강원도,4040
2019-01-01,2,강원도,3833
2019-01-01,3,강원도,3778
2019-01-01,4,강원도,3777
2019-01-01,5,강원도,3809
2019-01-01,6,강원도,3823
2019-01-01,7,강원도,3935
2019-01-01,8,강원도,3913
2019-01-01,9,강원도,3927
2019-01-01,10,강원도,3980
2019-01-01,11,강원도,3889
2019-01-01,12,강원도,3902
2019-01-01,13,강원도,3989
2019-01-01,14,강원도,4019
2019-01-01,15,강원도,3943
2019-01-01,16,강원도,3934
2019-01-01,17,강원도,3913
2019-01-01,18,강원도,4159
2019-01-01,19,강원도,4367
2019-01-01,20,강원도,4333
2019-01-01,21,강원도,4288
2019-01-01,22,강원도,4017
2019-01-01,23,강원도,3974
2019-01-01,24,강원도,4182
2019-01-01,1,경상남도,6869
2019-01-01,2,경상남도,6545
2019-01-01,3,경상남도,6291
2019-01-01,4,경상남도,6301
2019-01-01,5,경상남도,6308
2019-01-01,6,경상남도,6442
2019-01-01,7,경상남도,6544
2019-01-01,8,경상남도,6360
2019-01-01,9,경상남도,6195
2019-01-01,10,경상남도,6209
2019-01-01,11,경상남도,6623
2019-01-01,12,경상남도,6653
2019-01-01,13,경상남도,6669
2019-01-01,14,경상남도,6639
2019-01-01,15,경상남도,6543
2019-01-01,16,경상남도,6449
2019-01-01,17,경상남도,6465
2019-01-01,18,경상남도,6886
2019-01-01,19,경상남도,6950
2019-01-01,20,경상남도,6804
2019-01-01,21,경상남도,6815
2019-01-01,22,경상남도,6709
2019-01-01,23,경상남도,6555
2019-01-01,24,경상남도,6751
2019-01-01,1,경상북도,8666
2019-01-01,2,경상북도,8512
2019-01-01,3,경상북도,8520
2019-01-01,4,경상북도,8528
2019-01-01,5,경상북도,8508
2019-01-01,6,경상북도,8482
2019-01-01,7,경상북도,8486
2019-01-01,8,경상북도,8479
2019-01-01,9,경상북도,8566
2019-01-01,10,경상북도,8578
2019-01-01,11,경상북도,8594
2019-01-01,12,경상북도,8641
2019-01-01,13,경상북도,8654
2019-01-01,14,경상북도,8625
2019-01-01,15,경상북도,8608
2019-01-01,16,경상북도,8564
2019-01-01,17,경상북도,8588
2019-01-01,18,경상북도,8780
2019-01-01,19,경상북도,8978
2019-01-01,20,경상북도,8961
2019-01-01,21,경상북도,8695
2019-01-01,22,경상북도,8511
2019-01-01,23,경상북도,8695
2019-01-01,24,경상북도,8861
