연도,지역,일시 정전 발생 건수,순시순간 정전 발생 건수
2016,서울본부,21,106
2016,남서울본부,36,222
2016,인천본부,33,252
2016,경기북부본부,32,188
2016,경기본부,60,454
2016,강원본부,28,114
2016,충북본부,31,131
2016,대전세종충남본부,37,331
2016,전북본부,29,167
2016,광주전남본부,45,309
2016,대구본부,39,275
2016,경북본부,16,84
2016,부산울산본부,64,551
2016,경남본부,33,225
2016,제주본부,16,109
2017,서울본부,9,109
2017,남서울본부,24,231
2017,인천본부,25,217
2017,경기북부본부,50,185
2017,경기본부,69,414
2017,강원본부,41,189
2017,충북본부,32,118
2017,대전세종충남본부,29,301
2017,전북본부,25,147
2017,광주전남본부,61,284
2017,대구본부,40,202
2017,경북본부,18,66
2017,부산울산본부,47,402
2017,경남본부,27,180
2017,제주본부,12,148
2018,서울본부,18,107
2018,남서울본부,41,198
2018,인천본부,30,233
2018,경기북부본부,29,172
2018,경기본부,72,448
2018,강원본부,37,75
2018,충북본부,31,138
2018,대전세종충남본부,37,300
2018,전북본부,31,160
2018,광주전남본부,45,327
2018,대구본부,29,201
2018,경북본부,20,90
2018,부산울산본부,48,427
2018,경남본부,24,178
2018,제주본부,14,113
