연도,지역,일시 정전 발생 건수,순시순간 정전 발생 건수
2019,서울본부,26,91
2019,남서울본부,34,168
2019,인천본부,52,252
2019,경기북부본부,67,147
2019,경기본부,80,403
2019,강원본부,45,70
2019,충북본부,21,130
2019,대전세종충남본부,39,239
2019,전북본부,36,140
2019,광주전남본부,74,330
2019,대구본부,39,199
2019,경북본부,30,68
2019,부산울산본부,49,442
2019,경남본부,32,189
2019,제주본부,17,83
2020,서울본부,25,86
2020,남서울본부,33,117
2020,인천본부,43,153
2020,경기북부본부,62,110
2020,경기본부,85,353
2020,강원본부,57,183
2020,충북본부,41,151
2020,대전세종충남본부,40,268
2020,전북본부,39,162
2020,광주전남본부,68,297
2020,대구본부,36,202
2020,경북본부,36,63
2020,부산울산본부,41,309
2020,경남본부,27,182
2020,제주본부,16,44
2021,서울본부,42,85
2021,남서울본부,29,143
2021,인천본부,48,164
2021,경기북부본부,55,116
2021,경기본부,113,370
2021,강원본부,45,216
2021,충북본부,41,211
2021,대전세종충남본부,57,328
2021,전북본부,48,181
2021,광주전남본부,72,410
2021,대구본부,46,176
2021,경북본부,33,100
2021,부산울산본부,57,289
2021,경남본부,26,276
2021,제주본부,23,160
2022,서울본부,34,83
2022,남서울본부,55,107
2022,인천본부,59,163
2022,경기북부본부,76,156
2022,경기본부,116,358
2022,강원본부,74,65
2022,충북본부,35,113
2022,대전세종충남본부,90,244
2022,전북본부,42,161
2022,광주전남본부,95,258
2022,대구본부,76,175
2022,경북본부,40,101
2022,부산울산본부,78,323
2022,경남본부,35,172
2022,제주본부,28,91
